track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,0h5MuD9O9o1VoN07mQmwMQ,170977,2022-08-12,93,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3RfTeIrWS8LNrfHYwechtt,Sunroof,7qmpXeNz2ojlMl2EEfkeLs,Nicky Youre,7xb8OvPMTdDSELqdWcddA0,163025,2021-11-26,30,0.768,0.716,10,-5.11,1,0.0404,0.35,0.0,0.15,0.841,131.43,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,2qAwMsiIjTzlmfAkXKvhVA,Armani White,4MajX5vPeY4cX5pv6rf0sA,99282,2022-05-19,89,0.9,0.509,1,-6.647,1,0.257,0.115,1.67e-06,0.0937,0.765,100.007,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4LRPiXqCikLlN15c3yImP7,As It Was,6KImCVD70vtIoJWnq6nGn3,Harry Styles,2pqdSWeJVsXAhHFuVLzuA8,167303,2022-03-31,96,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),2wY79sveU1sp5g7SokKOiI,Sam Smith,0gX9tkL5njRax8ymWcXARi,156943,2022-09-22,96,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,7M842DMhYVALrXsw3ty7B3,175238,2022-08-26,97,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
1PckUlxKqWQs3RlWXVBLw3,About Damn Time,56oDRnqbIiwx4mymNEv7dS,Lizzo,4JApkbiesQxv5drdEZRlZC,191822,2022-04-14,90,0.836,0.743,10,-6.305,0,0.0656,0.0995,0.0,0.335,0.722,108.966,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,3MZsBdqDrRTJihTHQrO6Dq,Joji,6ZZvx0aefZV3LKa053fn71,233456,2022-06-10,95,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3LtpKP5abr2qqjunvjlX5i,Doja,5H4yInM5zmHqpKIoMNAx4r,Central Cee,6oECjagksATHu2UaclXrq1,97392,2022-07-21,93,0.911,0.573,6,-7.43,1,0.288,0.38,0.0,0.403,0.972,140.04,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,5BWl0bB1q0TqyFmkBEupZy,298933,1985,92,0.629,0.547,10,-13.123,0,0.055,0.72,0.00314,0.0604,0.197,108.375,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
02MWAaffLxlfxAUY7c5dvx,Heat Waves,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,0KTj6k94XZh0c6IEMfxeWV,238805,2020-08-06,89,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,57vWImR43h4CaDao012Ofp,Steve Lacy,3Ks0eeH0GWpY4AU20D5HPD,232066,2022-07-15,89,0.686,0.494,1,-7.093,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
7Hij0MzGIK43J8sQsrzcdB,Baby Shark,5Vjj1sZw4lyTGfbJZ9epbY,RALAN STYLES,5GxnOGqSFpOsWVuDg7GRMQ,156059,2022-08-20,71,0.843,0.28,1,-9.723,1,0.336,0.156,1.38e-05,0.134,0.407,160.005,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,4QLAtpLNUsHEYrcHXmMIZZ,141805,2021-07-09,89,0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,169.928,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
1xK59OXxi2TAAAbmZK0kBL,Romantic Homicide,5y8tKLUfMvliMe8IKamR32,d4vd,4B3FsNFguOEJ4TWEsct83B,132630,2022-07-20,91,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,132.052,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4h9wh7iOZ0GGn8QVp4RAOB,I Ain't Worried,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,04PEOM6kIEeq9lRp1asNP2,148485,2022-05-13,96,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
71npaVc8R0tKEF9avvZe7o,ALL EARS,2jwmP4TgzTGqjCfcXMDayW,FRVRFRIDAY,0cUuScs99kjjb19BeDqB25,195882,2022-09-23,53,0.696,0.487,4,-7.463,0,0.118,0.157,1.5e-05,0.107,0.0912,93.453,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,1bTgKomQYSkKYPD9UI9W4b,173381,2021-10-28,87,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
1rDQ4oMwGJI7B4tovsBOxc,First Class,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,4uVXrwE4aSV2L2aqAHSOXa,173947,2022-04-08,87,0.905,0.563,8,-6.135,1,0.102,0.0254,9.71e-06,0.113,0.324,106.998,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
6hmEfkBtsBnOGoXPS0AULw,Paradise,5SZUMeZ1O9tcgkSkkx1dFy,Viva La Panda,6N396y1yfDrriAkUx1ESs3,185720,2022-09-30,47,0.567,0.756,1,-6.35,0,0.0623,0.0964,0.0,0.0984,0.443,117.98,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4cacyP5c3PMlfnyjpg13xW,Betty (Get Money),2YOYua8FpudSEiB9s88IgQ,Yung Gravy,3FEQZNn34v3EdxrVKi9pZF,146470,2022-06-10,88,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3AJwUDP919kvQ9QcozQPxg,Yellow,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,6ZG5lRT77aJ3btmArcykra,266773,2000-07-10,90,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4fouWK6XVHhzl78KzQ1UjL,abcdefu,2VSHKHBTiXWplO8lxcnUC9,GAYLE,6tUQPKlpR4x1gjrXTtOImI,168601,2021-08-13,87,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
58HvfVOeJY7lUuCqF0m3ly,MIDDLE OF THE NIGHT,67MNhiAICFY6Pwc2YxCO0K,Elley Duhé,4hYYpUC8Ewb74tP23Y1lmM,184447,2020-01-10,90,0.41,0.611,4,-8.271,0,0.0467,0.0228,0.0,0.116,0.0899,185.727,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3IAfUEeaXRX9s9UdKOJrFI,Envolver,7FNnA9vBm6EKceENgCGRMb,Anitta,6UsualeqgzPnb8cfaQ5nL7,193805,2021-11-11,85,0.812,0.736,4,-5.421,0,0.0833,0.152,0.00254,0.0914,0.396,91.993,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
0QPRDC97rIQB3Jh3hrVJoH,SNAP,46xBNx0j6cwY6sD9LgMTm1,Rosa Linn,4Cv9qCS1q3FDyyRFHGyc1g,179551,2022-03-19,73,0.563,0.639,0,-8.205,1,0.0684,0.107,1.06e-05,0.446,0.518,169.985,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4xG1egDLS0WxscEhf7eSL1,Crush,4HAfqyKr4Sqtab6ttHWXgE,MASN,2knm0yH3YFjmvhlgqCiroD,160666,2022-09-09,58,0.497,0.836,9,-6.41,1,0.0962,0.0518,2.44e-06,0.192,0.542,173.94,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3QclFWAS0G1gssGbRYKow8,Leave Before You Love Me,2HVE2wrkIHJF8af1iWqEV1,MØRFI,2pwi7t9gURhxeBiuE0nmuB,124880,2022-09-02,51,0.612,0.782,8,-4.618,1,0.0598,0.00261,0.0,0.432,0.321,125.849,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
2DgdHcjWmO3qd50RzuBLgZ,House of Memories,20JZFwl6HVl6yg8a4H3ZqK,Panic! At The Disco,6twKQ0EsUJHVlAr6XBylrj,208706,2016-01-15,86,0.506,0.817,11,-5.051,0,0.0335,0.00272,0.0,0.0486,0.506,109.952,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
1r8ZCjfrQxoy2wVaBUbpwg,Thousand Miles,2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,5x23D06mbAdtkU9N9JrZyf,164781,2022-04-22,82,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
6PjsO7A76W3xpEPU43AVsW,Frozen,5dtKB0tw4Yc39wYRzA9u4R,IMKK,69z9aS8ma6zdTbhSPanHLt,142080,2022-09-09,55,0.698,0.833,5,-5.253,0,0.0276,0.171,4.2e-05,0.318,0.412,124.986,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
6vfgd1ZkrPqLZkU2n1ngoq,Fever - Remix,636Zdq45wjoYRFToU0t3Gb,XY&O,2YCRwVJWvaJx6CLFEfPKnT,156000,2022-08-19,54,0.782,0.586,10,-6.067,0,0.0567,0.0608,0.00409,0.115,0.724,120.018,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
0T5iIrXA4p5GsubkhuBIKV,Until I Found You,5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,18CtLoAMTr7F8ngtuM6D8i,177720,2021-09-01,90,0.539,0.508,10,-6.05,1,0.0288,0.727,0.0,0.174,0.227,101.358,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
1txmvzFv558zaWVAzVZvPR,Open Up,74GrV01oFcjJdLHCF9MWhr,VAMERO,56ian55yQVaQ9w1heYEKOv,156200,2022-09-16,60,0.747,0.81,8,-4.615,0,0.036,0.0336,0.0229,0.193,0.548,120.056,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
6UXWq2vWpHeTZlMIFyEWIn,Being Good Is Boring,05cgS2xJt75RhmFWgpgfE7,Jena Rose,6asqvl3ZX2moMrkpowonUr,160982,2022-07-29,58,0.767,0.758,11,-3.191,0,0.084,0.0368,0.0,0.0682,0.844,111.986,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
0DGTcMqvVR7fmBXgiG6jz4,Just A Cloud Away,2RdwBSPQiwcmiDo9kixcl8,Pharrell Williams,2ojXtf3VwPgpxsFHYujwCY,176078,2013,73,0.89,0.46,2,-8.155,1,0.0359,0.432,0.0,0.11,0.677,112.555,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
30N9iQ35AyTPQXDdoNus8u,The Plan,4xklx5DAtVru5uf3vSXTgf,Arman Aydin,1bPu5ZkWCrehM0mufxicXq,135483,2022-07-08,59,0.812,0.653,5,-5.849,0,0.0361,0.0059,0.0,0.105,0.864,124.034,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
1aKHgPHMKTJEmLkKmcbe3a,Left Cheek (Doo Doo Blick),4OVbrPbhvK46A1uXTU1u5F,Lay Bankz,2QCIxTKckQPH0slJpy7GV9,174757,2022-08-23,52,0.742,0.746,6,-6.613,0,0.134,0.412,0.000276,0.108,0.606,140.071,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4qBMiRsJjtm1WR4KyAQqrX,Oh No,6XUob2lASlLLaavOTAw9Vb,Kreepa,7Kh8xIe0oqPe2j6bwNCTxN,166504,2019-12-13,57,0.541,0.527,11,-7.438,0,0.147,0.00279,0.000509,0.286,0.429,176.123,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
2kshZOos7J492X9aQRUJJa,Cold,27DBIUuMP6IRsfiQshCbaM,MRTY,329W5NckTKuGJCC50Q2U2N,124499,2022-09-09,54,0.734,0.835,7,-5.555,1,0.257,0.133,0.0,0.329,0.573,126.057,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
21szgNA72iLwvBxHQLgwBh,die first,7pwufEBGfggjoI8twqlsmQ,Nessa Barrett,56raLTkxER12w8xejGTpSG,177108,2022-06-24,82,0.444,0.669,8,-6.727,0,0.125,0.0669,0.0,0.124,0.44,183.441,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
07MDkzWARZaLEdKxo6yArG,Meet Me At Our Spot,64H8UqGLbJFHwKtGxiV8OP,THE ANXIETY,2kZyqn4Cmr78D74K9TcO4K,162680,2020-03-13,81,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
