track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
4C6Uex2ILwJi9sZXRdmqXp,Super Freaky Girl,93,170977,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3RfTeIrWS8LNrfHYwechtt,Sunroof,30,163025,"['7qmpXeNz2ojlMl2EEfkeLs', '38PzLQE4GW8o7A18oGhi0x']","['Nicky Youre', 'dazy']",2,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
27ZZdyTSQWI7Cug2d2PkqV,BILLIE EILISH.,89,99282,2qAwMsiIjTzlmfAkXKvhVA,Armani White,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4LRPiXqCikLlN15c3yImP7,As It Was,96,167303,6KImCVD70vtIoJWnq6nGn3,Harry Styles,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3nqQXoyQOWXiESFLlDF1hG,Unholy (feat. Kim Petras),96,156943,"['2wY79sveU1sp5g7SokKOiI', '3Xt3RrJMFv5SZkCfUE8C1J']","['Sam Smith', 'Kim Petras']",2,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),97,175238,"['1Cs0zKBU1kc0i8ypK3B9ai', '64M6ah0SkkRsnPGtGiRAbb']","['David Guetta', 'Bebe Rexha']",2,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
1PckUlxKqWQs3RlWXVBLw3,About Damn Time,90,191822,56oDRnqbIiwx4mymNEv7dS,Lizzo,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us,95,233456,3MZsBdqDrRTJihTHQrO6Dq,Joji,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
3LtpKP5abr2qqjunvjlX5i,Doja,93,97392,5H4yInM5zmHqpKIoMNAx4r,Central Cee,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
75FEaRjZTKLhTrFGsfMUXR,Running Up That Hill (A Deal With God),92,298933,1aSxMhuvixZ8h9dK9jIDwL,Kate Bush,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
02MWAaffLxlfxAUY7c5dvx,Heat Waves,89,238805,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit,89,232066,57vWImR43h4CaDao012Ofp,Steve Lacy,1,65LdqYCLcsV0lJoxpeQ6fW,TikTok Songs 2022 | Tik Tok Hits | Viral Hits 
