track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5aAx2yezTd8zXrkmtKl66Z,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,09fggMHib4YkOtwQNXEBII,230453,2016-11-25,1,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054
7BKLCZ1jbUBVqRi2FVlTVw,Closer,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,0rSLgV8p5FzfnqlEk4GzxE,244960,2016-07-29,85,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01
4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,540vIaP2JwjQb9dm3aArA4,DJ Snake,55bbXORm6ZrVq52zfZnxBf,205946,2016-08-05,1,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie),6MDME20pz9RveH9rEXvrOM,Clean Bandit,3meZFplbMmji648oWUNEfQ,251088,2016-10-21,76,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965
1xznGGDReH1oQq0xzbwXa3,One Dance,3TVXtAsR1Inumwj472S9r4,Drake,3hARKC8cinq3mZLLAEaBh9,173986,2016-05-06,0,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989
343YBumqHu19cGoGARUTsd,Fake Love,3TVXtAsR1Inumwj472S9r4,Drake,1lXY618HWkwYKJWBRYR4MK,210937,2017-03-18,75,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007
6b8Be6ljOzmkOmFslEb23P,24K Magic,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,4PgleR09JVnm3zY1fW3XBA,225983,2016-11-17,80,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97
5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,04gDigrS5kc9YWfZHwBETP,Maroon 5,0fvTn3WXF39kQs9i3bnNpP,214480,2016-10-11,0,0.783,0.623,7,-6.126,1,0.08,0.338,0.0,0.0975,0.447,100.048
6fujklziTHa8uoM5OQSfIo,Black Beatles,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,5v6iBhIlflzR9rEd1LAMbd,291893,2016-08-12,76,0.794,0.632,0,-6.163,1,0.0649,0.142,0.0,0.128,0.355,145.926
5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,4AdZV63ycxFLF6Hcol0QnB,269186,2016-11-24,75,0.773,0.819,0,-5.946,0,0.118,0.426,0.0,0.0679,0.585,92.99
